,rp_date,cp_id,device,imps,clicks,cost,cv_t
134,2017/5/15,652057083,1,521,2,267,0
135,2017/5/16,652057083,1,425,2,424,0
136,2017/5/17,652057083,1,425,5,747,0
137,2017/5/18,652057083,1,473,2,214,0
138,2017/5/19,652057083,1,412,2,278,0
139,2017/5/20,652057083,1,466,5,868,0
140,2017/5/21,652057083,1,467,1,197,0
141,2017/5/22,652057083,1,542,1,225,0
142,2017/5/23,652057083,1,548,3,342,0
143,2017/5/24,652057083,1,552,6,1263,0
144,2017/5/25,652057083,1,566,2,349,0
145,2017/5/26,652057083,1,528,7,1356,0
146,2017/5/27,652057083,1,490,1,255,0
147,2017/5/28,652057083,1,562,3,437,0
148,2017/5/29,652057083,1,506,4,635,1
149,2017/5/30,652057083,1,538,1,98,0
150,2017/5/31,652057083,1,584,1,151,0
151,2017/6/1,652057083,1,538,3,588,0
152,2017/6/2,652057083,1,563,1,139,0
153,2017/6/3,652057083,1,426,0,0,0
154,2017/6/4,652057083,1,511,6,628,0
155,2017/6/5,652057083,1,461,2,425,0
156,2017/6/6,652057083,1,432,4,701,0
157,2017/6/7,652057083,1,524,1,207,0
158,2017/6/8,652057083,1,516,3,375,1
159,2017/6/9,652057083,1,349,5,798,0
160,2017/6/10,652057083,1,443,2,295,0
161,2017/6/11,652057083,1,414,0,0,0
162,2017/6/12,652057083,1,358,4,761,0
163,2017/6/13,652057083,1,354,1,184,0
164,2017/6/14,652057083,1,331,5,1175,0
165,2017/6/15,652057083,1,392,4,902,0
166,2017/6/16,652057083,1,372,0,0,0
167,2017/6/17,652057083,1,370,1,150,0
168,2017/6/18,652057083,1,396,1,117,0
169,2017/6/19,652057083,1,429,5,1007,0
170,2017/6/20,652057083,1,380,4,601,0
171,2017/6/21,652057083,1,357,3,479,0
172,2017/6/22,652057083,1,345,5,946,0
173,2017/6/23,652057083,1,250,2,424,0
174,2017/6/24,652057083,1,300,0,0,0
175,2017/6/25,652057083,1,344,5,768,0
176,2017/6/26,652057083,1,349,5,774,0
177,2017/6/27,652057083,1,326,3,283,1
178,2017/6/28,652057083,1,302,4,725,0
179,2017/6/29,652057083,1,316,1,195,0
180,2017/6/30,652057083,1,319,2,233,0
181,2017/7/1,652057083,1,354,1,108,0
182,2017/7/2,652057083,1,333,3,565,0
183,2017/7/3,652057083,1,370,2,428,0
184,2017/7/4,652057083,1,283,2,482,0
185,2017/7/5,652057083,1,323,3,456,0
186,2017/7/6,652057083,1,311,2,254,0
187,2017/7/7,652057083,1,268,1,268,0
188,2017/7/8,652057083,1,312,4,845,0
189,2017/7/9,652057083,1,435,4,630,0
190,2017/7/10,652057083,1,983,2,380,0
191,2017/7/11,652057083,1,553,2,386,0
192,2017/7/12,652057083,1,259,2,331,0
193,2017/7/13,652057083,1,246,0,0,0
194,2017/7/14,652057083,1,271,1,154,0
195,2017/7/15,652057083,1,248,2,250,0
196,2017/7/16,652057083,1,324,5,934,0
197,2017/7/17,652057083,1,279,1,164,0
198,2017/7/18,652057083,1,270,3,292,0
199,2017/7/19,652057083,1,302,0,0,0
200,2017/7/20,652057083,1,251,4,511,0
201,2017/7/21,652057083,1,236,1,122,0
202,2017/7/22,652057083,1,171,0,0,0
203,2017/7/23,652057083,1,205,3,412,0
204,2017/7/24,652057083,1,492,0,0,0
205,2017/7/25,652057083,1,555,2,245,0
206,2017/7/26,652057083,1,646,1,175,0
207,2017/7/27,652057083,1,578,3,402,0
208,2017/7/28,652057083,1,319,1,122,0
209,2017/7/29,652057083,1,477,1,237,0
210,2017/7/30,652057083,1,634,2,130,1
211,2017/7/31,652057083,1,545,1,86,0
212,2017/8/1,652057083,1,574,6,1105,0
213,2017/8/2,652057083,1,497,1,219,1
214,2017/8/3,652057083,1,478,0,0,0
215,2017/8/4,652057083,1,291,0,0,0
216,2017/8/5,652057083,1,315,0,0,0
217,2017/8/6,652057083,1,410,0,0,0
218,2017/8/7,652057083,1,404,5,471,2
219,2017/8/8,652057083,1,295,1,69,0
220,2017/8/9,652057083,1,327,0,0,0
221,2017/8/10,652057083,1,299,0,0,0
222,2017/8/11,652057083,1,302,0,0,0
223,2017/8/12,652057083,1,333,2,199,0
224,2017/8/13,652057083,1,400,2,167,0
225,2017/8/14,652057083,1,378,2,82,0
