pv,click,cost,cv
3.49E+04,4.58E+03,1.93E+05,4.10E+01
4.11E+04,5.40E+03,2.26E+05,5.60E+01
3.96E+04,5.20E+03,2.21E+05,5.30E+01
3.96E+04,5.09E+03,2.31E+05,4.50E+01
3.96E+04,4.76E+03,2.60E+05,6.30E+01
3.82E+04,4.37E+03,2.33E+05,3.50E+01
3.86E+04,4.29E+03,2.37E+05,3.20E+01
4.42E+04,4.89E+03,3.16E+05,3.70E+01
4.46E+04,4.93E+03,2.95E+05,4.70E+01
4.30E+04,4.72E+03,2.95E+05,4.00E+01
4.45E+04,4.82E+03,2.92E+05,3.10E+01
4.37E+04,4.49E+03,2.81E+05,2.70E+01
4.36E+04,4.32E+03,2.57E+05,4.10E+01
4.18E+04,4.37E+03,2.57E+05,3.50E+01
3.84E+04,4.49E+03,2.50E+05,5.20E+01
3.56E+04,4.27E+03,2.09E+05,4.50E+01
3.27E+04,4.06E+03,2.04E+05,2.80E+01
3.42E+04,4.34E+03,1.92E+05,3.70E+01
3.11E+04,3.83E+03,1.62E+05,3.80E+01
3.09E+04,3.69E+03,1.77E+05,3.30E+01
3.05E+04,3.71E+03,1.72E+05,3.70E+01
3.26E+04,3.86E+03,2.14E+05,4.70E+01
3.12E+04,3.78E+03,2.18E+05,3.10E+01
2.97E+04,3.53E+03,2.58E+05,2.70E+01
3.20E+04,3.49E+03,2.40E+05,2.40E+01
3.02E+04,3.46E+03,1.92E+05,3.40E+01
2.92E+04,3.10E+03,1.66E+05,3.20E+01
2.95E+04,3.29E+03,1.97E+05,2.80E+01
3.12E+04,3.68E+03,2.09E+05,3.40E+01
3.09E+04,3.57E+03,1.84E+05,2.70E+01
2.92E+04,3.51E+03,1.96E+05,2.70E+01
2.62E+04,3.86E+03,1.50E+05,2.60E+01
2.38E+04,3.51E+03,1.12E+05,1.70E+01
1.90E+04,2.78E+03,9.17E+04,3.30E+01
2.09E+04,3.03E+03,9.89E+04,2.50E+01
2.36E+04,3.73E+03,1.24E+05,3.00E+01
2.37E+04,3.61E+03,1.24E+05,4.90E+01
2.31E+04,3.49E+03,1.13E+05,3.50E+01
2.39E+04,3.70E+03,1.17E+05,3.10E+01
2.12E+04,3.23E+03,1.02E+05,3.10E+01
2.33E+04,3.03E+03,1.11E+05,1.50E+01
2.19E+04,2.96E+03,1.22E+05,3.10E+01
2.52E+04,3.46E+03,1.34E+05,2.70E+01
2.28E+04,3.04E+03,1.23E+05,2.90E+01
1.79E+04,2.73E+03,1.09E+05,2.60E+01
1.64E+04,2.50E+03,9.70E+04,2.70E+01
1.90E+04,2.84E+03,1.05E+05,1.50E+01
2.30E+04,3.28E+03,1.30E+05,1.60E+01
2.37E+04,3.53E+03,1.36E+05,1.50E+01
2.62E+04,4.11E+03,1.47E+05,4.50E+01
2.45E+04,4.01E+03,1.47E+05,3.50E+01
2.39E+04,3.86E+03,1.39E+05,4.10E+01
2.55E+04,4.17E+03,1.52E+05,3.40E+01
2.46E+04,4.11E+03,1.48E+05,4.40E+01
2.35E+04,3.84E+03,1.32E+05,2.80E+01
2.33E+04,3.73E+03,1.36E+05,1.60E+01
2.64E+04,4.44E+03,1.72E+05,3.80E+01
2.61E+04,4.22E+03,1.55E+05,3.60E+01
2.49E+04,3.99E+03,1.47E+05,4.00E+01
2.62E+04,4.38E+03,1.57E+05,3.70E+01
2.40E+04,3.96E+03,1.47E+05,3.50E+01
2.12E+04,3.53E+03,1.30E+05,3.70E+01
2.21E+04,3.62E+03,1.40E+05,3.60E+01
2.60E+04,4.20E+03,1.55E+05,4.10E+01
2.46E+04,4.32E+03,1.38E+05,4.10E+01
2.23E+04,3.96E+03,1.22E+05,4.70E+01
2.25E+04,3.79E+03,1.19E+05,4.20E+01
2.14E+04,3.71E+03,1.21E+05,3.60E+01
1.85E+04,2.94E+03,9.48E+04,3.80E+01
1.88E+04,3.12E+03,1.03E+05,4.00E+01
2.33E+04,3.85E+03,1.25E+05,4.00E+01
2.29E+04,3.98E+03,1.17E+05,3.80E+01
2.27E+04,3.84E+03,1.33E+05,2.40E+01
2.64E+04,4.16E+03,1.29E+05,3.40E+01
2.52E+04,3.94E+03,1.26E+05,2.80E+01
2.20E+04,3.49E+03,1.31E+05,3.00E+01
2.21E+04,3.63E+03,1.38E+05,2.70E+01
2.52E+04,4.37E+03,1.60E+05,3.20E+01
2.51E+04,4.30E+03,1.53E+05,4.20E+01
2.27E+04,3.93E+03,1.45E+05,5.10E+01
2.43E+04,4.32E+03,1.59E+05,3.20E+01
2.36E+04,4.03E+03,1.56E+05,3.00E+01
2.10E+04,3.61E+03,1.37E+05,2.20E+01
2.11E+04,3.71E+03,1.31E+05,2.80E+01
2.42E+04,4.21E+03,1.56E+05,2.70E+01
2.25E+04,4.08E+03,1.49E+05,4.20E+01
2.06E+04,3.83E+03,1.31E+05,3.30E+01
2.20E+04,4.03E+03,1.46E+05,3.80E+01
2.06E+04,3.79E+03,1.35E+05,4.20E+01
1.79E+04,3.25E+03,1.13E+05,3.50E+01
1.86E+04,3.48E+03,1.10E+05,3.20E+01
2.26E+04,4.12E+03,1.46E+05,3.40E+01
2.19E+04,4.02E+03,1.25E+05,4.50E+01
2.17E+04,3.93E+03,1.28E+05,3.20E+01
2.22E+04,4.03E+03,1.32E+05,3.80E+01
1.65E+04,2.97E+03,1.00E+05,2.60E+01
1.63E+04,2.95E+03,9.92E+04,3.20E+01
1.61E+04,3.04E+03,9.98E+04,2.90E+01
1.68E+04,3.00E+03,1.03E+05,2.50E+01
2.12E+04,3.88E+03,1.32E+05,4.10E+01
2.04E+04,3.83E+03,1.30E+05,2.90E+01
1.88E+04,3.50E+03,1.31E+05,4.00E+01
2.06E+04,3.55E+03,1.27E+05,4.00E+01
2.10E+04,3.46E+03,1.28E+05,3.20E+01
2.03E+04,3.59E+03,1.15E+05,3.20E+01
1.99E+04,3.72E+03,1.39E+05,4.10E+01
2.38E+04,4.34E+03,1.53E+05,3.20E+01
2.26E+04,4.05E+03,1.39E+05,3.70E+01
2.35E+04,4.29E+03,1.46E+05,4.10E+01
2.26E+04,4.16E+03,1.36E+05,3.10E+01
2.03E+04,3.62E+03,1.21E+05,3.90E+01
2.08E+04,3.85E+03,1.29E+05,5.60E+01
2.38E+04,4.28E+03,1.53E+05,4.80E+01
2.27E+04,4.18E+03,1.46E+05,3.50E+01
2.15E+04,3.86E+03,1.33E+05,4.60E+01
2.29E+04,4.18E+03,1.54E+05,2.70E+01
2.14E+04,3.68E+03,1.29E+05,2.70E+01
1.77E+04,3.19E+03,1.21E+05,2.90E+01
1.78E+04,3.31E+03,1.23E+05,3.60E+01
1.88E+04,3.61E+03,1.36E+05,2.50E+01
2.24E+04,4.12E+03,1.58E+05,5.80E+01
2.09E+04,3.82E+03,1.32E+05,3.60E+01
2.23E+04,4.32E+03,1.55E+05,3.80E+01
2.03E+04,3.78E+03,1.51E+05,3.00E+01
1.85E+04,3.36E+03,1.39E+05,3.50E+01
1.84E+04,3.69E+03,1.47E+05,5.10E+01
2.21E+04,4.15E+03,1.65E+05,4.40E+01
2.16E+04,4.10E+03,1.60E+05,5.00E+01
1.99E+04,3.63E+03,1.50E+05,3.70E+01
2.12E+04,3.98E+03,1.59E+05,2.40E+01
2.07E+04,3.64E+03,1.56E+05,2.30E+01
1.78E+04,3.21E+03,1.38E+05,3.40E+01
1.85E+04,3.35E+03,1.38E+05,2.70E+01
2.35E+04,4.01E+03,1.77E+05,3.90E+01
2.36E+04,4.20E+03,1.90E+05,3.30E+01
2.12E+04,3.81E+03,2.00E+05,3.90E+01
2.21E+04,4.01E+03,2.00E+05,4.90E+01
2.13E+04,3.91E+03,1.90E+05,2.50E+01
1.76E+04,3.03E+03,1.47E+05,3.10E+01
1.81E+04,3.29E+03,1.61E+05,2.00E+01
2.09E+04,3.91E+03,1.83E+05,3.10E+01
1.92E+04,3.70E+03,1.57E+05,3.10E+01
1.87E+04,3.68E+03,1.61E+05,3.80E+01
2.01E+04,3.61E+03,1.42E+05,1.60E+01
1.74E+04,3.21E+03,1.25E+05,1.80E+01
1.55E+04,2.87E+03,1.08E+05,2.90E+01
1.47E+04,3.00E+03,1.21E+05,3.00E+01
1.61E+04,2.98E+03,1.14E+05,3.70E+01
1.73E+04,3.20E+03,1.31E+05,1.60E+01
1.93E+04,3.45E+03,1.48E+05,2.80E+01
2.36E+04,4.34E+03,1.74E+05,3.80E+01
2.29E+04,4.15E+03,1.66E+05,2.90E+01
2.06E+04,3.60E+03,1.49E+05,1.70E+01
2.12E+04,3.86E+03,1.65E+05,3.10E+01
2.60E+04,4.49E+03,1.94E+05,4.00E+01
2.55E+04,4.43E+03,1.85E+05,4.20E+01
2.49E+04,4.18E+03,1.80E+05,4.30E+01
2.81E+04,4.69E+03,1.98E+05,2.30E+01
3.22E+04,4.78E+03,1.97E+05,3.30E+01
3.04E+04,4.44E+03,1.88E+05,2.30E+01
2.53E+04,3.92E+03,1.68E+05,4.00E+01
3.06E+04,4.83E+03,2.20E+05,6.00E+01
3.04E+04,4.51E+03,1.91E+05,3.80E+01
3.17E+04,4.56E+03,2.15E+05,3.00E+01
3.09E+04,4.67E+03,2.28E+05,4.10E+01
2.88E+04,4.56E+03,2.48E+05,5.60E+01
2.54E+04,3.82E+03,2.03E+05,3.30E+01
2.48E+04,4.00E+03,2.09E+05,2.30E+01
3.10E+04,5.17E+03,2.84E+05,5.00E+01
2.96E+04,5.17E+03,3.02E+05,4.90E+01
2.69E+04,4.73E+03,2.19E+05,4.20E+01
2.95E+04,4.93E+03,2.15E+05,2.80E+01
2.70E+04,4.58E+03,2.20E+05,3.70E+01
2.34E+04,4.12E+03,1.86E+05,3.80E+01
2.18E+04,4.18E+03,1.78E+05,2.40E+01
2.24E+04,4.91E+03,1.83E+05,4.10E+01
2.09E+04,5.02E+03,1.44E+05,4.60E+01
1.69E+04,4.37E+03,1.00E+05,4.80E+01
1.64E+04,4.33E+03,7.91E+04,3.20E+01
1.44E+04,3.59E+03,7.32E+04,3.50E+01
1.69E+04,3.65E+03,1.11E+05,2.90E+01
1.85E+04,3.64E+03,1.21E+05,3.60E+01
2.02E+04,3.78E+03,1.47E+05,5.10E+01
2.32E+04,4.26E+03,1.73E+05,3.60E+01
2.94E+04,4.35E+03,1.93E+05,4.80E+01
2.87E+04,4.46E+03,1.99E+05,3.80E+01
2.46E+04,3.76E+03,1.83E+05,4.50E+01
2.18E+04,3.27E+03,1.77E+05,2.00E+01
2.20E+04,3.51E+03,1.91E+05,3.40E+01
2.76E+04,4.07E+03,2.42E+05,3.70E+01
2.93E+04,4.17E+03,2.57E+05,3.30E+01
2.64E+04,3.68E+03,2.07E+05,4.90E+01
2.85E+04,4.04E+03,2.20E+05,4.20E+01
3.33E+04,3.48E+03,2.45E+05,2.80E+01
3.03E+04,3.05E+03,2.24E+05,3.40E+01
2.76E+04,3.22E+03,2.33E+05,2.20E+01
3.03E+04,3.65E+03,2.58E+05,3.10E+01
2.90E+04,3.50E+03,2.56E+05,3.80E+01
2.55E+04,3.36E+03,2.19E+05,4.00E+01
2.62E+04,3.76E+03,2.12E+05,4.00E+01
2.38E+04,3.25E+03,1.92E+05,3.10E+01
2.08E+04,3.04E+03,1.61E+05,2.60E+01
1.93E+04,3.05E+03,1.62E+05,3.70E+01
2.21E+04,3.54E+03,1.86E+05,2.40E+01
2.45E+04,3.77E+03,2.03E+05,3.40E+01
2.28E+04,3.57E+03,2.06E+05,4.40E+01
2.63E+04,3.78E+03,2.05E+05,3.50E+01
2.38E+04,3.56E+03,1.82E+05,3.00E+01
1.99E+04,3.17E+03,1.58E+05,2.50E+01
2.08E+04,3.37E+03,1.58E+05,3.50E+01
2.21E+04,3.41E+03,1.75E+05,3.40E+01
2.13E+04,3.28E+03,1.53E+05,1.90E+01
1.99E+04,3.17E+03,1.54E+05,2.30E+01
2.17E+04,3.38E+03,1.58E+05,2.20E+01
2.08E+04,3.13E+03,1.59E+05,3.20E+01
1.97E+04,3.08E+03,1.39E+05,2.80E+01
2.04E+04,3.14E+03,1.47E+05,2.90E+01
2.36E+04,3.62E+03,1.72E+05,3.50E+01
2.09E+04,3.54E+03,1.38E+05,4.00E+01
2.11E+04,3.44E+03,1.49E+05,4.10E+01
2.23E+04,3.50E+03,1.64E+05,3.10E+01
2.19E+04,3.35E+03,1.66E+05,3.20E+01
1.88E+04,3.10E+03,1.26E+05,3.40E+01
2.09E+04,3.36E+03,1.48E+05,3.60E+01
2.36E+04,3.62E+03,1.61E+05,3.60E+01
2.55E+04,3.93E+03,1.89E+05,3.80E+01
2.30E+04,3.45E+03,1.74E+05,2.80E+01
2.46E+04,3.83E+03,1.95E+05,3.20E+01
2.22E+04,3.40E+03,1.55E+05,3.40E+01
2.07E+04,3.15E+03,1.57E+05,2.60E+01
2.07E+04,3.17E+03,1.54E+05,2.10E+01
2.59E+04,3.94E+03,2.07E+05,4.20E+01
2.48E+04,4.15E+03,1.90E+05,2.70E+01
2.35E+04,3.92E+03,1.96E+05,4.00E+01
2.39E+04,4.08E+03,1.91E+05,3.20E+01
2.21E+04,3.62E+03,1.68E+05,2.30E+01
2.11E+04,3.65E+03,1.71E+05,4.60E+01
2.32E+04,3.97E+03,1.73E+05,2.90E+01
2.50E+04,3.91E+03,1.99E+05,3.80E+01
2.88E+04,4.13E+03,2.21E+05,3.90E+01
3.25E+04,4.01E+03,2.20E+05,2.50E+01
3.31E+04,3.91E+03,2.68E+05,3.30E+01
2.05E+04,3.11E+03,1.48E+05,2.20E+01
1.59E+04,2.74E+03,9.79E+04,2.70E+01
1.41E+04,2.67E+03,9.30E+04,1.60E+01
1.42E+04,2.62E+03,1.08E+05,4.20E+01
1.51E+04,2.57E+03,1.16E+05,2.80E+01
1.48E+04,2.49E+03,1.06E+05,3.00E+01
1.54E+04,2.63E+03,1.01E+05,4.50E+01
1.62E+04,2.73E+03,1.16E+05,2.20E+01
1.73E+04,2.66E+03,1.19E+05,2.40E+01
1.79E+04,2.94E+03,1.15E+05,2.00E+01
2.40E+04,3.62E+03,1.57E+05,3.40E+01
2.29E+04,3.43E+03,1.58E+05,3.50E+01
2.20E+04,3.19E+03,1.40E+05,3.20E+01
2.55E+04,3.75E+03,1.74E+05,4.70E+01
2.01E+04,3.16E+03,1.42E+05,3.40E+01
1.88E+04,3.15E+03,1.33E+05,2.90E+01
1.90E+04,3.36E+03,1.42E+05,3.30E+01
2.46E+04,4.09E+03,1.94E+05,3.10E+01
2.42E+04,4.00E+03,1.96E+05,3.30E+01
2.47E+04,4.01E+03,1.75E+05,4.00E+01
2.22E+04,3.73E+03,1.65E+05,4.80E+01
1.66E+04,2.97E+03,1.13E+05,2.90E+01
1.60E+04,3.00E+03,1.04E+05,2.20E+01
1.76E+04,3.14E+03,1.11E+05,1.70E+01
1.85E+04,3.37E+03,1.22E+05,2.30E+01
1.77E+04,3.20E+03,1.14E+05,2.10E+01
1.68E+04,3.07E+03,1.21E+05,3.50E+01
1.67E+04,3.01E+03,1.13E+05,2.20E+01
1.51E+04,2.76E+03,1.10E+05,3.00E+01
1.43E+04,2.69E+03,9.46E+04,2.70E+01
1.52E+04,2.89E+03,1.03E+05,2.90E+01
1.79E+04,3.21E+03,1.22E+05,3.20E+01
1.82E+04,3.34E+03,1.24E+05,3.70E+01
1.72E+04,3.09E+03,1.19E+05,2.40E+01
1.82E+04,3.47E+03,1.33E+05,2.80E+01
1.71E+04,2.96E+03,1.08E+05,3.00E+01
1.56E+04,2.65E+03,9.19E+04,4.00E+01
1.53E+04,2.63E+03,9.34E+04,2.50E+01
1.72E+04,2.90E+03,1.06E+05,3.10E+01
2.72E+04,3.67E+03,1.31E+05,3.50E+01
3.89E+04,4.06E+03,2.46E+05,4.50E+01
3.10E+04,3.26E+03,2.68E+05,2.70E+01
1.74E+04,2.49E+03,1.24E+05,2.60E+01
1.68E+04,2.82E+03,1.01E+05,2.50E+01
1.28E+04,2.16E+03,7.58E+04,2.00E+01
8.47E+03,1.50E+03,5.04E+04,1.90E+01
1.50E+04,2.67E+03,9.57E+04,2.50E+01
1.70E+04,3.07E+03,1.09E+05,3.90E+01
2.43E+04,4.12E+03,1.39E+05,5.70E+01
2.48E+04,4.05E+03,1.32E+05,2.80E+01
2.19E+04,4.02E+03,1.25E+05,3.30E+01
2.17E+04,4.00E+03,1.23E+05,4.50E+01
2.43E+04,4.53E+03,1.44E+05,3.60E+01
2.59E+04,4.77E+03,1.64E+05,3.50E+01
2.77E+04,4.96E+03,1.87E+05,3.60E+01
2.94E+04,5.10E+03,2.10E+05,4.60E+01
3.02E+04,5.21E+03,2.42E+05,4.50E+01
2.89E+04,4.79E+03,2.26E+05,3.60E+01
3.02E+04,5.34E+03,2.42E+05,6.90E+01
3.34E+04,5.89E+03,2.57E+05,5.50E+01
3.52E+04,6.42E+03,2.51E+05,3.50E+01
3.45E+04,6.53E+03,2.44E+05,6.20E+01
3.39E+04,6.41E+03,2.48E+05,7.10E+01
3.20E+04,5.94E+03,2.29E+05,5.00E+01
3.20E+04,5.91E+03,2.41E+05,5.20E+01
3.39E+04,6.34E+03,2.50E+05,8.90E+01
3.26E+04,5.97E+03,2.54E+05,8.30E+01
3.27E+04,5.97E+03,2.45E+05,6.00E+01
3.15E+04,5.80E+03,2.47E+05,3.80E+01
3.56E+04,6.19E+03,2.88E+05,4.70E+01
3.49E+04,5.70E+03,2.70E+05,4.80E+01
3.35E+04,5.77E+03,2.53E+05,4.90E+01
3.54E+04,6.30E+03,2.65E+05,4.70E+01
3.69E+04,6.69E+03,2.79E+05,5.80E+01
4.17E+04,7.20E+03,3.05E+05,6.60E+01
3.81E+04,6.69E+03,2.76E+05,4.90E+01
3.70E+04,6.96E+03,2.83E+05,5.30E+01
3.37E+04,6.43E+03,2.72E+05,6.20E+01
3.38E+04,6.19E+03,2.53E+05,5.70E+01
3.40E+04,6.46E+03,2.57E+05,4.30E+01
3.53E+04,6.82E+03,2.92E+05,6.10E+01
3.44E+04,6.49E+03,2.76E+05,5.30E+01
3.16E+04,6.15E+03,2.69E+05,5.40E+01
3.10E+04,6.14E+03,2.66E+05,5.50E+01
2.95E+04,6.02E+03,2.57E+05,5.80E+01
2.83E+04,5.89E+03,2.49E+05,6.60E+01
2.87E+04,5.85E+03,2.56E+05,6.40E+01
2.82E+04,5.61E+03,2.44E+05,5.40E+01
3.09E+04,5.98E+03,2.62E+05,7.50E+01
2.80E+04,5.53E+03,2.45E+05,7.20E+01
2.98E+04,5.90E+03,2.90E+05,6.20E+01
2.79E+04,5.71E+03,2.44E+05,3.70E+01
2.60E+04,5.38E+03,2.24E+05,4.80E+01
2.80E+04,5.89E+03,2.44E+05,4.90E+01
3.07E+04,6.37E+03,2.68E+05,4.20E+01
2.91E+04,6.21E+03,2.56E+05,6.10E+01
2.83E+04,6.01E+03,2.71E+05,8.20E+01
2.91E+04,6.23E+03,2.93E+05,4.50E+01
2.72E+04,5.87E+03,2.78E+05,6.80E+01
2.63E+04,5.83E+03,2.86E+05,4.90E+01
2.70E+04,5.96E+03,2.84E+05,4.70E+01
3.20E+04,6.91E+03,3.29E+05,6.50E+01
3.61E+04,7.42E+03,3.60E+05,3.80E+01
3.55E+04,7.06E+03,3.24E+05,5.80E+01
3.41E+04,7.38E+03,2.98E+05,7.50E+01
3.09E+04,7.02E+03,3.03E+05,5.00E+01
2.85E+04,6.43E+03,2.53E+05,7.60E+01
2.88E+04,6.44E+03,2.43E+05,5.20E+01
3.32E+04,7.44E+03,2.95E+05,6.50E+01
3.09E+04,7.38E+03,2.70E+05,6.90E+01
3.09E+04,7.44E+03,2.70E+05,6.20E+01
3.19E+04,7.75E+03,2.90E+05,5.30E+01
3.15E+04,7.24E+03,2.71E+05,6.80E+01
2.98E+04,6.90E+03,2.42E+05,5.80E+01
3.06E+04,6.95E+03,2.45E+05,5.80E+01
3.01E+04,6.90E+03,2.76E+05,5.10E+01
2.91E+04,6.80E+03,2.56E+05,4.00E+01
2.68E+04,6.36E+03,2.52E+05,5.80E+01
2.68E+04,6.53E+03,2.53E+05,6.10E+01
2.47E+04,6.03E+03,2.24E+05,5.80E+01
2.25E+04,5.63E+03,2.05E+05,4.20E+01
2.20E+04,5.48E+03,1.91E+05,2.70E+01
2.47E+04,6.10E+03,2.27E+05,4.70E+01
2.53E+04,6.05E+03,2.22E+05,4.80E+01
2.53E+04,6.00E+03,2.25E+05,5.50E+01
2.79E+04,6.63E+03,2.71E+05,4.60E+01
2.61E+04,5.84E+03,2.47E+05,3.30E+01
4.04E+04,6.89E+03,2.90E+05,5.60E+01
2.44E+04,5.18E+03,2.25E+05,4.70E+01
2.62E+04,5.61E+03,2.42E+05,5.40E+01
2.46E+04,5.54E+03,2.28E+05,4.40E+01
2.80E+04,5.59E+03,2.96E+05,4.20E+01
3.27E+04,6.08E+03,3.98E+05,3.20E+01
3.26E+04,5.64E+03,3.75E+05,4.30E+01
3.27E+04,5.27E+03,3.54E+05,4.20E+01
3.29E+04,5.56E+03,3.14E+05,3.50E+01
2.58E+04,5.54E+03,2.56E+05,3.60E+01
2.42E+04,5.58E+03,2.41E+05,3.80E+01
2.47E+04,5.36E+03,2.25E+05,4.60E+01
2.45E+04,5.35E+03,2.46E+05,5.40E+01
2.31E+04,5.02E+03,2.28E+05,3.50E+01
2.37E+04,4.86E+03,2.27E+05,2.70E+01
2.30E+04,4.64E+03,2.14E+05,3.20E+01
2.40E+04,5.22E+03,2.25E+05,3.50E+01
2.02E+04,4.80E+03,1.90E+05,4.00E+01
2.06E+04,4.77E+03,2.04E+05,4.20E+01
2.10E+04,4.93E+03,2.08E+05,6.30E+01
1.99E+04,4.58E+03,1.67E+05,3.50E+01
1.82E+04,4.10E+03,1.48E+05,3.10E+01
1.94E+04,4.54E+03,1.46E+05,4.00E+01
2.09E+04,4.76E+03,1.99E+05,4.10E+01
2.12E+04,5.03E+03,1.64E+05,5.00E+01
2.09E+04,4.85E+03,1.92E+05,4.00E+01
2.17E+04,4.82E+03,1.99E+05,3.90E+01
2.03E+04,4.78E+03,1.77E+05,3.30E+01
1.83E+04,4.12E+03,1.35E+05,4.20E+01
1.88E+04,4.31E+03,1.43E+05,3.50E+01
1.93E+04,4.18E+03,1.65E+05,3.30E+01
1.28E+04,2.79E+03,1.21E+05,4.10E+01
2.07E+04,4.46E+03,1.86E+05,3.30E+01
2.35E+04,4.83E+03,2.20E+05,5.70E+01
2.35E+04,4.64E+03,2.15E+05,3.30E+01
2.05E+04,3.92E+03,1.79E+05,3.00E+01
2.04E+04,3.98E+03,1.77E+05,2.50E+01
2.20E+04,4.19E+03,2.10E+05,3.50E+01
2.11E+04,4.19E+03,2.19E+05,3.50E+01
1.91E+04,4.05E+03,2.06E+05,3.10E+01
1.57E+04,3.50E+03,1.57E+05,2.20E+01
1.41E+04,3.00E+03,9.50E+04,3.00E+01
1.44E+04,3.23E+03,1.22E+05,3.60E+01
1.86E+04,4.06E+03,1.41E+05,2.70E+01
2.35E+04,5.13E+03,1.98E+05,4.70E+01
1.94E+04,4.87E+03,1.50E+05,5.20E+01
1.86E+04,4.58E+03,1.45E+05,5.70E+01
1.88E+04,4.51E+03,1.66E+05,5.50E+01
1.79E+04,4.39E+03,1.56E+05,4.30E+01
1.65E+04,3.80E+03,1.23E+05,3.20E+01
1.78E+04,4.33E+03,1.26E+05,6.00E+01
2.09E+04,4.95E+03,1.78E+05,4.70E+01
