pv,click,cost,cv
7.78E+03,2.03E+03,4.34E+04,1.20E+01
1.01E+04,2.78E+03,5.86E+04,3.00E+01
1.21E+04,3.13E+03,7.08E+04,3.90E+01
1.77E+04,4.32E+03,1.01E+05,4.50E+01
2.00E+04,4.91E+03,1.22E+05,4.10E+01
2.05E+04,5.16E+03,1.13E+05,3.00E+01
1.74E+04,4.34E+03,9.37E+04,4.50E+01
1.69E+04,4.43E+03,1.08E+05,2.60E+01
1.84E+04,4.73E+03,1.08E+05,5.00E+01
2.03E+04,5.04E+03,1.24E+05,4.10E+01
2.15E+04,5.82E+03,1.49E+05,3.50E+01
2.15E+04,5.53E+03,1.46E+05,4.20E+01
2.04E+04,5.04E+03,1.51E+05,2.90E+01
1.85E+04,4.79E+03,1.58E+05,3.50E+01
1.87E+04,5.01E+03,1.56E+05,4.10E+01
2.25E+04,5.95E+03,1.77E+05,3.70E+01
2.42E+04,6.90E+03,1.81E+05,4.10E+01
2.24E+04,6.20E+03,1.77E+05,3.50E+01
2.51E+04,6.51E+03,2.05E+05,4.70E+01
4.53E+04,6.70E+03,5.98E+05,3.70E+01
3.01E+04,6.83E+03,1.94E+05,3.60E+01
2.97E+04,6.65E+03,2.00E+05,3.80E+01
3.36E+04,6.92E+03,2.07E+05,3.50E+01
3.21E+04,6.19E+03,2.08E+05,3.90E+01
3.16E+04,6.23E+03,1.79E+05,4.40E+01
3.29E+04,6.26E+03,1.90E+05,6.40E+01
3.30E+04,6.21E+03,1.85E+05,4.10E+01
3.11E+04,5.77E+03,1.69E+05,4.90E+01
3.41E+04,6.67E+03,1.75E+05,5.30E+01
5.48E+04,7.03E+03,3.22E+05,4.20E+01
4.15E+04,6.36E+03,2.43E+05,4.50E+01
3.18E+04,6.17E+03,1.84E+05,4.80E+01
3.31E+04,6.55E+03,1.73E+05,6.30E+01
3.05E+04,5.99E+03,1.77E+05,4.20E+01
2.95E+04,5.87E+03,1.60E+05,4.80E+01
3.32E+04,6.30E+03,1.68E+05,5.10E+01
3.78E+04,7.49E+03,2.02E+05,4.80E+01
4.79E+04,8.23E+03,3.04E+05,4.70E+01
3.54E+04,7.42E+03,1.90E+05,5.80E+01
3.63E+04,7.79E+03,2.10E+05,3.70E+01
3.32E+04,6.60E+03,1.94E+05,4.80E+01
3.46E+04,7.40E+03,2.11E+05,4.40E+01
3.34E+04,6.83E+03,1.96E+05,3.60E+01
3.56E+04,6.96E+03,2.26E+05,6.80E+01
3.28E+04,6.59E+03,2.04E+05,6.70E+01
3.33E+04,6.70E+03,2.09E+05,3.60E+01
3.46E+04,7.08E+03,2.10E+05,6.50E+01
3.50E+04,7.05E+03,2.14E+05,5.10E+01
3.17E+04,6.49E+03,1.87E+05,3.80E+01
3.29E+04,6.94E+03,2.10E+05,4.90E+01
3.68E+04,7.17E+03,2.44E+05,3.60E+01
3.53E+04,6.73E+03,2.04E+05,5.90E+01
5.80E+04,9.30E+03,2.49E+05,7.30E+01
4.64E+04,8.33E+03,2.40E+05,6.30E+01
3.78E+04,6.92E+03,1.97E+05,6.80E+01
3.44E+04,6.19E+03,1.86E+05,6.90E+01
3.53E+04,6.50E+03,1.89E+05,5.00E+01
3.84E+04,6.05E+03,2.25E+05,6.40E+01
3.58E+04,4.47E+03,2.21E+05,3.60E+01
3.61E+04,5.02E+03,2.70E+05,4.60E+01
4.18E+04,7.39E+03,3.22E+05,4.90E+01
3.94E+04,6.37E+03,2.57E+05,4.10E+01
3.54E+04,5.80E+03,2.30E+05,5.50E+01
3.69E+04,6.31E+03,2.20E+05,4.60E+01
4.15E+04,6.74E+03,2.45E+05,5.10E+01
4.00E+04,6.75E+03,2.70E+05,6.00E+01
3.90E+04,6.23E+03,2.56E+05,6.30E+01
4.17E+04,6.84E+03,2.60E+05,5.50E+01
3.85E+04,6.01E+03,2.48E+05,4.90E+01
3.58E+04,5.58E+03,2.28E+05,4.90E+01
3.55E+04,5.39E+03,2.22E+05,5.60E+01
3.90E+04,5.63E+03,2.49E+05,4.50E+01
3.81E+04,4.96E+03,2.20E+05,2.90E+01
3.62E+04,4.79E+03,2.19E+05,6.00E+01
3.93E+04,5.85E+03,2.41E+05,5.40E+01
3.70E+04,5.07E+03,2.08E+05,3.80E+01
3.44E+04,4.61E+03,2.04E+05,4.00E+01
3.39E+04,4.32E+03,2.13E+05,4.80E+01
