,rp_date,cp_id,device,imps,clicks,cost,cv_t
0,2017-01-01,622861879.0,3.0,242.0,15.0,2992.0,1.0
1,2017-01-01,622861879.0,1.0,634.0,11.0,1914.0,0.0
2,2017-01-01,622861879.0,2.0,2342.0,88.0,14920.0,6.0
3,2017-01-02,622861879.0,2.0,3351.0,124.0,22602.0,7.0
4,2017-01-02,622861879.0,1.0,697.0,10.0,1568.0,2.0
5,2017-01-02,622861879.0,3.0,290.0,7.0,1480.0,1.0
6,2017-01-03,622861879.0,3.0,393.0,11.0,2769.0,3.0
7,2017-01-03,622861879.0,1.0,960.0,18.0,3613.0,1.0
8,2017-01-03,622861879.0,2.0,4291.0,207.0,38295.0,7.0
9,2017-01-04,622861879.0,2.0,4860.0,218.0,39989.0,13.0
10,2017-01-04,622861879.0,1.0,1564.0,41.0,7367.0,4.0
11,2017-01-04,622861879.0,3.0,379.0,12.0,2990.0,1.0
12,2017-01-05,622861879.0,3.0,395.0,17.0,3446.0,0.0
13,2017-01-05,622861879.0,1.0,1837.0,50.0,9132.0,6.0
14,2017-01-05,622861879.0,2.0,5195.0,266.0,46909.0,16.0
15,2017-01-06,622861879.0,3.0,315.0,15.0,3051.0,0.0
16,2017-01-06,622861879.0,1.0,1788.0,55.0,11318.0,2.0
17,2017-01-06,622861879.0,2.0,4596.0,200.0,39491.0,18.0
18,2017-01-07,622861879.0,3.0,476.0,15.0,3574.0,1.0
19,2017-01-07,622861879.0,1.0,1419.0,43.0,8783.0,3.0
20,2017-01-07,622861879.0,2.0,5409.0,252.0,45169.0,10.0
21,2017-01-08,622861879.0,2.0,5836.0,260.0,50242.0,14.0
22,2017-01-08,622861879.0,3.0,562.0,23.0,4845.0,1.0
23,2017-01-08,622861879.0,1.0,1424.0,49.0,10377.0,3.0
24,2017-01-09,622861879.0,1.0,1798.0,34.0,6012.0,0.0
25,2017-01-09,622861879.0,2.0,7301.0,383.0,70383.0,15.0
26,2017-01-09,622861879.0,3.0,703.0,32.0,6884.0,1.0
27,2017-01-10,622861879.0,3.0,373.0,17.0,3345.0,0.0
28,2017-01-10,622861879.0,1.0,1722.0,30.0,5640.0,3.0
29,2017-01-10,622861879.0,2.0,5322.0,226.0,37897.0,12.0
30,2017-01-11,622861879.0,3.0,348.0,11.0,1930.0,1.0
31,2017-01-11,622861879.0,2.0,4789.0,205.0,36513.0,4.0
32,2017-01-11,622861879.0,1.0,1453.0,37.0,6658.0,3.0
33,2017-01-12,622861879.0,3.0,336.0,18.0,3996.0,1.0
34,2017-01-12,622861879.0,2.0,4905.0,301.0,51598.0,16.0
35,2017-01-12,622861879.0,1.0,1482.0,56.0,9913.0,0.0
36,2017-01-13,622861879.0,2.0,4927.0,270.0,49515.0,10.0
37,2017-01-13,622861879.0,3.0,313.0,17.0,3674.0,1.0
38,2017-01-13,622861879.0,1.0,1593.0,52.0,9538.0,3.0
39,2017-01-14,622861879.0,1.0,1490.0,38.0,9106.0,0.0
40,2017-01-14,622861879.0,2.0,6454.0,313.0,57923.0,14.0
41,2017-01-14,622861879.0,3.0,520.0,17.0,3510.0,0.0
42,2017-01-15,622861879.0,1.0,1588.0,33.0,7811.0,0.0
43,2017-01-15,622861879.0,3.0,617.0,24.0,5474.0,1.0
44,2017-01-15,622861879.0,2.0,6713.0,266.0,50186.0,8.0
45,2017-01-16,622861879.0,3.0,414.0,6.0,1131.0,0.0
46,2017-01-16,622861879.0,2.0,5888.0,291.0,54462.0,13.0
47,2017-01-16,622861879.0,1.0,1879.0,60.0,12609.0,5.0
48,2017-01-17,622861879.0,1.0,1922.0,50.0,11020.0,4.0
49,2017-01-17,622861879.0,2.0,6110.0,279.0,53301.0,16.0
50,2017-01-17,622861879.0,3.0,340.0,20.0,4156.0,0.0
51,2017-01-18,622861879.0,3.0,450.0,16.0,4011.0,1.0
52,2017-01-18,622861879.0,1.0,2155.0,57.0,12085.0,3.0
53,2017-01-18,622861879.0,2.0,6404.0,302.0,55788.0,20.0
54,2017-01-19,622861879.0,2.0,6556.0,307.0,52538.0,14.0
55,2017-01-19,622861879.0,1.0,2225.0,64.0,14354.0,3.0
56,2017-01-19,622861879.0,3.0,447.0,13.0,2633.0,0.0
57,2017-01-20,622861879.0,2.0,5654.0,271.0,49843.0,12.0
58,2017-01-20,622861879.0,1.0,1927.0,48.0,11276.0,3.0
59,2017-01-20,622861879.0,3.0,349.0,9.0,1836.0,0.0
60,2017-01-21,622861879.0,2.0,6136.0,268.0,46961.0,9.0
61,2017-01-21,622861879.0,1.0,1496.0,37.0,8829.0,0.0
62,2017-01-21,622861879.0,3.0,552.0,20.0,4638.0,0.0
63,2017-01-22,622861879.0,2.0,14639.0,425.0,70021.0,13.0
64,2017-01-22,622861879.0,1.0,2403.0,53.0,11332.0,4.0
65,2017-01-22,622861879.0,3.0,1047.0,30.0,5067.0,1.0
66,2017-01-23,622861879.0,3.0,486.0,15.0,3105.0,0.0
67,2017-01-23,622861879.0,2.0,5986.0,297.0,54247.0,16.0
68,2017-01-23,622861879.0,1.0,1873.0,36.0,6740.0,0.0
69,2017-01-24,622861879.0,2.0,5819.0,272.0,46719.0,8.0
70,2017-01-24,622861879.0,1.0,2239.0,78.0,15876.0,4.0
71,2017-01-24,622861879.0,3.0,409.0,16.0,3442.0,2.0
72,2017-01-25,622861879.0,1.0,2142.0,66.0,13811.0,2.0
73,2017-01-25,622861879.0,3.0,451.0,16.0,2889.0,0.0
74,2017-01-25,622861879.0,2.0,5601.0,273.0,48561.0,13.0
75,2017-01-26,622861879.0,3.0,385.0,14.0,2669.0,2.0
76,2017-01-26,622861879.0,1.0,1981.0,50.0,9559.0,0.0
77,2017-01-26,622861879.0,2.0,5673.0,268.0,48058.0,9.0
78,2017-01-27,622861879.0,3.0,351.0,7.0,1552.0,0.0
79,2017-01-27,622861879.0,2.0,5140.0,217.0,41586.0,5.0
80,2017-01-27,622861879.0,1.0,1936.0,48.0,10388.0,8.0
81,2017-01-28,622861879.0,1.0,1433.0,45.0,9578.0,1.0
82,2017-01-28,622861879.0,2.0,4896.0,218.0,41641.0,14.0
83,2017-01-28,622861879.0,3.0,454.0,12.0,2444.0,0.0
84,2017-01-29,622861879.0,2.0,5424.0,247.0,43410.0,15.0
85,2017-01-29,622861879.0,1.0,1513.0,36.0,7566.0,3.0
86,2017-01-29,622861879.0,3.0,535.0,15.0,2984.0,2.0
87,2017-01-30,622861879.0,3.0,389.0,17.0,4043.0,3.0
88,2017-01-30,622861879.0,2.0,5779.0,309.0,60171.0,12.0
89,2017-01-30,622861879.0,1.0,2108.0,51.0,11499.0,1.0
90,2017-01-31,622861879.0,3.0,353.0,19.0,3754.0,1.0
91,2017-01-31,622861879.0,1.0,2216.0,58.0,13177.0,1.0
92,2017-01-31,622861879.0,2.0,5709.0,283.0,49594.0,15.0
93,2017-02-01,622861879.0,1.0,1955.0,54.0,12021.0,1.0
94,2017-02-01,622861879.0,2.0,5375.0,296.0,53885.0,7.0
95,2017-02-01,622861879.0,3.0,336.0,14.0,2968.0,1.0
96,2017-02-02,622861879.0,3.0,356.0,18.0,3700.0,0.0
97,2017-02-02,622861879.0,2.0,4951.0,234.0,41493.0,7.0
98,2017-02-02,622861879.0,1.0,1905.0,42.0,8806.0,1.0
99,2017-02-03,622861879.0,1.0,1516.0,47.0,9450.0,9.0
