,rp_date,cp_id,device,imps,clicks,cost,cv_t
0,2017-01-01,722442618.0,2.0,1270.0,101.0,2193.0,2.0
1,2017-01-01,722442618.0,1.0,639.0,36.0,701.0,1.0
2,2017-01-01,722442618.0,3.0,201.0,10.0,249.0,0.0
3,2017-01-02,722442618.0,2.0,1914.0,159.0,3853.0,1.0
4,2017-01-02,722442618.0,3.0,248.0,14.0,357.0,0.0
5,2017-01-02,722442618.0,1.0,704.0,42.0,1040.0,4.0
6,2017-01-03,722442618.0,1.0,879.0,65.0,1333.0,7.0
7,2017-01-03,722442618.0,3.0,256.0,23.0,736.0,1.0
8,2017-01-03,722442618.0,2.0,2022.0,158.0,3136.0,3.0
9,2017-01-04,722442618.0,3.0,232.0,19.0,448.0,0.0
10,2017-01-04,722442618.0,1.0,894.0,83.0,1492.0,2.0
11,2017-01-04,722442618.0,2.0,1769.0,155.0,3240.0,3.0
12,2017-01-05,722442618.0,3.0,518.0,65.0,731.0,1.0
13,2017-01-05,722442618.0,1.0,1520.0,163.0,2917.0,2.0
14,2017-01-05,722442618.0,2.0,5014.0,525.0,8765.0,4.0
15,2017-01-06,722442618.0,2.0,8121.0,1335.0,21266.0,11.0
16,2017-01-06,722442618.0,1.0,2615.0,381.0,8995.0,16.0
17,2017-01-06,722442618.0,3.0,833.0,133.0,1505.0,1.0
18,2017-01-07,722442618.0,1.0,2654.0,551.0,9951.0,14.0
19,2017-01-07,722442618.0,2.0,10151.0,1947.0,24864.0,23.0
20,2017-01-07,722442618.0,3.0,1164.0,247.0,2724.0,6.0
21,2017-01-08,722442618.0,3.0,1457.0,398.0,5603.0,10.0
22,2017-01-08,722442618.0,2.0,11032.0,2417.0,34471.0,31.0
23,2017-01-08,722442618.0,1.0,2949.0,724.0,15536.0,16.0
24,2017-01-09,722442618.0,1.0,2557.0,758.0,9640.0,23.0
25,2017-01-09,722442618.0,2.0,8622.0,2752.0,21955.0,38.0
26,2017-01-09,722442618.0,3.0,1318.0,468.0,4038.0,14.0
27,2017-01-10,722442618.0,2.0,7421.0,2637.0,14784.0,29.0
28,2017-01-10,722442618.0,3.0,905.0,328.0,2571.0,7.0
29,2017-01-10,722442618.0,1.0,3096.0,970.0,10603.0,17.0
30,2017-01-11,722442618.0,3.0,970.0,361.0,2244.0,4.0
31,2017-01-11,722442618.0,2.0,7856.0,2750.0,16002.0,29.0
32,2017-01-11,722442618.0,1.0,3154.0,1011.0,11992.0,19.0
33,2017-01-12,722442618.0,3.0,869.0,345.0,1825.0,5.0
34,2017-01-12,722442618.0,2.0,7962.0,2828.0,15072.0,26.0
35,2017-01-12,722442618.0,1.0,2958.0,1044.0,10933.0,23.0
36,2017-01-13,722442618.0,3.0,985.0,324.0,2110.0,1.0
37,2017-01-13,722442618.0,1.0,3069.0,1005.0,8378.0,22.0
38,2017-01-13,722442618.0,2.0,8494.0,2728.0,15779.0,29.0
39,2017-01-14,722442618.0,1.0,3007.0,1116.0,12283.0,29.0
40,2017-01-14,722442618.0,3.0,1457.0,577.0,3558.0,8.0
41,2017-01-14,722442618.0,2.0,10432.0,3697.0,21270.0,31.0
42,2017-01-15,722442618.0,2.0,11495.0,3977.0,21635.0,34.0
43,2017-01-15,722442618.0,1.0,3654.0,1247.0,10973.0,36.0
44,2017-01-15,722442618.0,3.0,1589.0,585.0,3262.0,12.0
45,2017-01-16,722442618.0,3.0,581.0,179.0,1123.0,8.0
46,2017-01-16,722442618.0,2.0,4579.0,1472.0,8226.0,23.0
47,2017-01-16,722442618.0,1.0,2466.0,808.0,7699.0,12.0
48,2017-01-17,722442618.0,1.0,2079.0,648.0,6751.0,15.0
49,2017-01-17,722442618.0,3.0,442.0,141.0,1024.0,2.0
50,2017-01-17,722442618.0,2.0,4043.0,1285.0,7785.0,23.0
51,2017-01-18,722442618.0,1.0,1925.0,597.0,7004.0,6.0
52,2017-01-18,722442618.0,3.0,453.0,154.0,838.0,4.0
53,2017-01-18,722442618.0,2.0,3633.0,1139.0,6524.0,17.0
54,2017-01-19,722442618.0,2.0,3365.0,939.0,5662.0,24.0
55,2017-01-19,722442618.0,1.0,1639.0,469.0,5097.0,10.0
56,2017-01-19,722442618.0,3.0,419.0,145.0,1129.0,2.0
57,2017-01-20,722442618.0,1.0,1872.0,404.0,4337.0,5.0
58,2017-01-20,722442618.0,2.0,4046.0,1009.0,6913.0,12.0
59,2017-01-20,722442618.0,3.0,443.0,106.0,652.0,0.0
60,2017-01-21,722442618.0,2.0,5032.0,1333.0,9377.0,19.0
61,2017-01-21,722442618.0,3.0,666.0,183.0,1515.0,1.0
62,2017-01-21,722442618.0,1.0,1907.0,433.0,4158.0,16.0
63,2017-01-22,722442618.0,1.0,1880.0,432.0,4313.0,20.0
64,2017-01-22,722442618.0,3.0,732.0,201.0,1558.0,6.0
65,2017-01-22,722442618.0,2.0,5313.0,1398.0,9261.0,23.0
66,2017-01-23,722442618.0,2.0,2848.0,669.0,4730.0,15.0
67,2017-01-23,722442618.0,1.0,1618.0,359.0,4007.0,11.0
68,2017-01-23,722442618.0,3.0,321.0,96.0,714.0,2.0
69,2017-01-24,722442618.0,1.0,1643.0,375.0,3496.0,7.0
70,2017-01-24,722442618.0,3.0,368.0,96.0,667.0,2.0
71,2017-01-24,722442618.0,2.0,2931.0,767.0,5014.0,18.0
72,2017-01-25,722442618.0,1.0,1624.0,299.0,2554.0,8.0
73,2017-01-25,722442618.0,3.0,319.0,96.0,812.0,3.0
74,2017-01-25,722442618.0,2.0,2758.0,685.0,4614.0,21.0
75,2017-01-26,722442618.0,3.0,296.0,65.0,495.0,0.0
76,2017-01-26,722442618.0,2.0,2576.0,598.0,4217.0,16.0
77,2017-01-26,722442618.0,1.0,1515.0,288.0,2741.0,14.0
78,2017-01-27,722442618.0,2.0,3574.0,651.0,4286.0,10.0
79,2017-01-27,722442618.0,3.0,294.0,62.0,477.0,3.0
80,2017-01-27,722442618.0,1.0,1344.0,245.0,2792.0,5.0
81,2017-01-28,722442618.0,2.0,3617.0,715.0,7231.0,15.0
82,2017-01-28,722442618.0,3.0,443.0,112.0,1020.0,4.0
83,2017-01-28,722442618.0,1.0,1305.0,262.0,3187.0,9.0
84,2017-01-29,722442618.0,3.0,542.0,125.0,1048.0,5.0
85,2017-01-29,722442618.0,2.0,3281.0,689.0,8375.0,13.0
86,2017-01-29,722442618.0,1.0,1265.0,258.0,3348.0,17.0
87,2017-01-30,722442618.0,3.0,515.0,151.0,959.0,7.0
88,2017-01-30,722442618.0,1.0,1734.0,374.0,4233.0,15.0
89,2017-01-30,722442618.0,2.0,4727.0,1071.0,9920.0,24.0
90,2017-01-31,722442618.0,3.0,777.0,217.0,1455.0,4.0
91,2017-01-31,722442618.0,2.0,8309.0,1956.0,14879.0,49.0
92,2017-01-31,722442618.0,1.0,2764.0,579.0,5688.0,23.0
93,2017-02-01,722442618.0,2.0,7161.0,1972.0,26962.0,54.0
94,2017-02-01,722442618.0,1.0,2346.0,623.0,11051.0,18.0
95,2017-02-01,722442618.0,3.0,678.0,207.0,1781.0,2.0
96,2017-02-02,722442618.0,3.0,570.0,176.0,2764.0,3.0
97,2017-02-02,722442618.0,1.0,2017.0,591.0,12755.0,14.0
98,2017-02-02,722442618.0,2.0,5492.0,1611.0,25119.0,35.0
99,2017-02-03,722442618.0,1.0,1888.0,551.0,10799.0,12.0
100,2017-02-03,722442618.0,3.0,582.0,169.0,1966.0,2.0
101,2017-02-03,722442618.0,2.0,5420.0,1580.0,23934.0,29.0
102,2017-02-04,722442618.0,3.0,815.0,268.0,3099.0,2.0
103,2017-02-04,722442618.0,2.0,7036.0,2205.0,35102.0,43.0
104,2017-02-04,722442618.0,1.0,1925.0,594.0,9121.0,22.0
105,2017-02-05,722442618.0,2.0,8409.0,2713.0,37813.0,40.0
106,2017-02-05,722442618.0,1.0,2099.0,708.0,10655.0,21.0
107,2017-02-05,722442618.0,3.0,999.0,335.0,4251.0,5.0
108,2017-02-06,722442618.0,1.0,1718.0,531.0,10363.0,14.0
109,2017-02-06,722442618.0,2.0,4214.0,1238.0,17747.0,12.0
110,2017-02-06,722442618.0,3.0,404.0,128.0,1099.0,3.0
111,2017-02-07,722442618.0,3.0,458.0,161.0,2292.0,5.0
112,2017-02-07,722442618.0,2.0,4187.0,1303.0,18478.0,23.0
113,2017-02-07,722442618.0,1.0,1797.0,522.0,9817.0,15.0
114,2017-02-08,722442618.0,1.0,1785.0,496.0,8730.0,11.0
115,2017-02-08,722442618.0,2.0,3989.0,1139.0,17572.0,26.0
116,2017-02-08,722442618.0,3.0,400.0,117.0,1507.0,2.0
117,2017-02-09,722442618.0,3.0,382.0,136.0,1897.0,2.0
118,2017-02-09,722442618.0,2.0,3399.0,1004.0,15460.0,15.0
119,2017-02-09,722442618.0,1.0,1559.0,444.0,7292.0,10.0
120,2017-02-10,722442618.0,1.0,1433.0,359.0,5776.0,14.0
121,2017-02-10,722442618.0,2.0,2813.0,820.0,11460.0,13.0
122,2017-02-10,722442618.0,3.0,361.0,104.0,1139.0,1.0
123,2017-02-11,722442618.0,1.0,1373.0,391.0,5516.0,19.0
124,2017-02-11,722442618.0,3.0,594.0,160.0,1520.0,4.0
125,2017-02-11,722442618.0,2.0,4044.0,1097.0,14348.0,20.0
126,2017-02-12,722442618.0,1.0,1554.0,449.0,6758.0,24.0
127,2017-02-12,722442618.0,2.0,4494.0,1220.0,17467.0,14.0
128,2017-02-12,722442618.0,3.0,590.0,158.0,1649.0,3.0
129,2017-02-13,722442618.0,3.0,331.0,65.0,552.0,0.0
130,2017-02-13,722442618.0,1.0,1599.0,350.0,5821.0,18.0
131,2017-02-13,722442618.0,2.0,2466.0,610.0,8842.0,13.0
132,2017-02-14,722442618.0,1.0,1707.0,408.0,7962.0,7.0
133,2017-02-14,722442618.0,2.0,3141.0,832.0,13015.0,16.0
134,2017-02-14,722442618.0,3.0,406.0,90.0,1022.0,2.0
135,2017-02-15,722442618.0,1.0,1521.0,399.0,6886.0,9.0
136,2017-02-15,722442618.0,2.0,3404.0,740.0,11663.0,16.0
137,2017-02-15,722442618.0,3.0,371.0,101.0,1070.0,2.0
138,2017-02-16,722442618.0,2.0,3518.0,787.0,15778.0,6.0
139,2017-02-16,722442618.0,1.0,1697.0,390.0,9422.0,8.0
140,2017-02-16,722442618.0,3.0,399.0,114.0,2088.0,4.0
141,2017-02-17,722442618.0,2.0,3453.0,762.0,15578.0,10.0
142,2017-02-17,722442618.0,3.0,425.0,107.0,1968.0,2.0
143,2017-02-17,722442618.0,1.0,1623.0,407.0,10161.0,12.0
144,2017-02-18,722442618.0,3.0,562.0,168.0,3110.0,4.0
145,2017-02-18,722442618.0,1.0,1586.0,345.0,7611.0,13.0
146,2017-02-18,722442618.0,2.0,4258.0,942.0,20975.0,13.0
147,2017-02-19,722442618.0,3.0,546.0,131.0,1886.0,0.0
148,2017-02-19,722442618.0,2.0,4626.0,814.0,11828.0,10.0
149,2017-02-19,722442618.0,1.0,1565.0,325.0,6107.0,15.0
150,2017-02-20,722442618.0,2.0,2923.0,559.0,9362.0,8.0
151,2017-02-20,722442618.0,3.0,344.0,83.0,1073.0,1.0
152,2017-02-20,722442618.0,1.0,1770.0,350.0,6874.0,8.0
153,2017-02-21,722442618.0,3.0,301.0,63.0,911.0,1.0
154,2017-02-21,722442618.0,2.0,2800.0,582.0,9491.0,4.0
155,2017-02-21,722442618.0,1.0,1474.0,296.0,7133.0,7.0
156,2017-02-22,722442618.0,3.0,368.0,71.0,1135.0,3.0
157,2017-02-22,722442618.0,1.0,1453.0,303.0,7355.0,8.0
158,2017-02-22,722442618.0,2.0,2686.0,486.0,7677.0,6.0
159,2017-02-23,722442618.0,3.0,291.0,72.0,1158.0,1.0
160,2017-02-23,722442618.0,2.0,2591.0,527.0,8899.0,2.0
161,2017-02-23,722442618.0,1.0,1481.0,295.0,6696.0,3.0
162,2017-02-24,722442618.0,2.0,2226.0,408.0,7376.0,8.0
