pv,click,cost,cv
854,7,442,0
1640,8,749,0
1120,6,559,0
876,5,462,0
767,6,574,1
884,6,438,0
1360,12,1010,0
1020,9,787,1
861,3,208,0
470,8,655,1
415,3,236,0
309,1,100,0
450,3,146,0
639,7,735,1
341,6,462,0
387,6,357,0
385,5,502,0
410,3,266,0
523,5,386,0
602,6,502,0
809,4,443,0
765,5,422,2
979,16,1320,0
1060,9,815,0
786,10,869,0
898,7,588,0
1040,13,1130,1
1360,6,468,0
1730,58,4890,2
1610,27,2010,0
1400,28,1800,1
1800,25,1720,0
1560,24,1740,3
2440,24,2270,1
2410,30,2610,4
1750,19,1170,1
1160,17,1210,1
1830,23,1390,1
1820,16,1200,0
1720,18,1160,0
2030,20,1750,2
2670,24,1760,0
2220,26,2260,0
1970,24,1990,0
1890,19,1620,0
1920,22,2130,0
1710,13,1120,1
3400,23,1910,4
4090,22,1840,0
2660,27,2050,1
2410,15,1470,0
1740,14,1130,0
2290,16,1230,2
1760,19,1440,3
2330,21,1730,0
2960,22,1870,0
1710,10,611,0
2980,21,1300,1
2510,9,962,0
2200,15,978,0
1750,17,1460,0
2630,8,584,0
3680,22,1830,3
3730,21,1880,1
2360,12,1170,1
1800,9,816,0
1750,18,1740,0
1370,15,1180,0
1910,16,1050,2
2660,15,1330,0
1450,4,371,0
1570,10,825,0
1200,12,907,0
1030,16,1650,0
725,12,1100,0
850,7,575,1
1320,16,1510,0
1010,15,1420,1
960,10,818,0
885,11,1140,1
960,14,1180,0
911,12,1300,0
979,13,1040,0
1140,9,615,0
872,9,956,0
704,6,482,0
588,8,571,0
940,11,1010,0
638,7,484,0
694,12,792,0
858,9,501,0
710,9,796,0
663,16,1420,1
494,12,934,1
483,6,465,0
475,4,379,1
451,4,196,0
706,10,941,0
456,9,849,0
438,5,292,0
541,11,788,0
398,6,565,0
387,2,223,1
368,4,268,0
456,10,565,1
387,11,746,0
350,5,473,0
434,4,220,0
524,3,160,0
483,7,524,0
716,6,436,0
1570,19,1830,0
995,6,674,0
700,9,587,0
620,17,1520,1
721,16,2100,0
437,0,0,0
665,11,1250,0
652,5,364,0
376,0,0,0
173,2,137,0
209,7,437,0
229,4,225,0
304,11,279,0
455,12,1230,0
481,4,232,0
311,8,909,2
276,4,322,0
340,4,259,1
214,2,170,1
224,2,119,0
289,1,68,0
257,8,549,0
379,11,772,0
288,5,247,0
260,0,0,0
266,5,243,0
270,5,625,0
273,6,508,1
416,3,156,0
698,12,826,0
945,3,111,0
784,9,717,0
957,7,773,0
873,8,697,0
866,5,263,0
781,15,1460,0
797,4,266,0
978,6,439,0
725,11,721,0
570,7,399,0
519,6,795,0
811,8,697,0
1030,15,1220,0
631,9,457,0
685,8,333,0
710,4,223,0
825,8,618,0
836,10,741,0
996,9,892,0
1100,8,749,0
1020,9,920,0
683,6,597,1
835,12,1410,0
727,15,1510,1
505,15,1360,0
838,17,1270,0
936,15,1430,1
770,6,587,0
873,12,1270,0
742,14,1340,0
847,6,519,0
700,10,836,0
700,9,819,0
904,14,1100,0
736,7,600,0
707,8,647,0
733,13,1520,0
847,19,1670,0
610,7,649,0
836,7,667,1
982,18,2170,0
774,12,1270,0
704,20,2160,0
818,14,1180,0
1070,20,2270,0
762,13,1300,0
825,13,1640,0
1150,17,1780,1
585,20,3160,1
519,11,2180,1
606,13,1160,0
693,14,1920,0
501,8,914,0
685,12,1400,0
832,8,1080,0
573,6,954,0
632,18,1850,0
739,18,2310,0
638,16,2500,0
443,10,1070,0
624,7,1090,0
833,8,574,0
505,10,1390,0
669,14,1990,0
785,12,1620,0
612,12,1190,0
499,9,1420,0
452,7,1120,0
577,4,349,0
417,9,1320,0
314,7,1160,0
331,3,323,0
345,6,822,0
199,5,699,0
171,5,600,0
221,9,1060,0
236,10,1290,0
173,5,488,0
168,6,469,0
166,5,343,0
117,3,158,0
146,2,132,0
148,0,0,0
137,4,251,0
124,6,1080,0
159,3,179,1
216,4,269,0
110,3,113,0
158,6,380,0
219,1,73,0
200,4,189,0
220,6,682,0
143,1,85,0
271,5,307,0
165,5,206,0
189,4,273,0
244,4,290,0
206,1,93,0
159,4,259,0
223,6,635,0
211,7,734,0
155,4,462,0
149,2,99,0
159,2,116,0
164,2,188,0
160,1,85,0
167,3,261,0
99,3,386,0
68,2,97,0
133,2,244,1
143,2,203,1
107,2,160,0
114,2,122,0
119,1,66,0
156,6,556,0
156,4,307,0
95,1,51,0
145,2,128,0
147,2,41,0
103,1,71,0
117,2,129,0
122,2,119,0
108,5,79,0
123,7,232,0
119,7,321,0
100,3,118,0
145,4,172,0
69,8,804,0
124,5,304,0
87,3,126,0
112,9,437,0
124,2,87,0
90,2,155,0
109,5,256,0
91,3,182,0
92,4,246,0
72,2,66,0
68,3,122,0
82,4,250,1
124,0,0,0
87,5,388,0
99,6,266,0
115,2,226,0
101,4,353,0
174,7,608,1
194,7,918,1
216,9,606,0
199,3,259,0
209,7,695,0
201,9,999,0
178,4,279,0
165,6,323,0
182,9,1220,1
133,6,713,0
178,7,814,0
142,4,617,0
140,8,718,0
120,11,1680,2
129,5,362,0
130,3,139,0
251,10,629,0
165,6,805,0
188,5,515,0
226,8,932,0
180,6,512,0
177,2,241,0
221,6,595,0
185,7,584,0
176,9,762,0
218,4,231,0
163,6,773,0
99,1,133,0
122,2,71,0
162,9,744,0
157,3,140,0
176,9,1230,0
123,3,163,0
126,2,72,0
108,3,201,0
133,5,339,0
169,8,768,0
131,5,284,0
135,3,127,0
122,1,120,0
116,2,148,0
99,1,179,0
102,2,164,0
106,4,376,0
89,4,280,0
82,3,103,0
114,2,60,0
89,1,36,0
103,3,132,0
83,2,204,0
119,3,128,0
89,1,29,0
75,0,0,0
103,5,144,0
75,3,130,0
104,3,116,0
107,5,223,0
115,4,224,0
100,2,148,0
116,4,242,0
119,3,158,0
112,1,80,0
108,5,505,0
104,3,205,0
151,9,851,1
128,2,85,0
110,7,578,1
90,1,25,0
129,4,676,0
84,4,278,0
106,2,26,0
123,4,105,0
124,3,270,0
154,3,289,0
105,2,73,0
127,9,749,0
119,6,600,0
120,4,351,0
144,16,926,0
128,15,634,0
99,6,157,0
133,2,105,0
117,6,268,0
111,1,50,0
128,7,540,0
170,8,291,0
194,7,351,0
151,10,670,1
103,2,99,0
129,5,293,0
103,9,393,0
89,1,92,1
100,4,198,0
122,6,242,0
86,5,170,0
87,4,137,0
93,6,444,0
100,8,248,0
95,13,365,0
102,9,311,0
75,5,423,0
99,5,121,0
162,9,438,1
172,14,594,0
176,13,737,0
260,6,148,0
297,17,807,1
277,22,1670,0
269,15,1270,1
300,26,1430,1
318,18,1150,1
315,29,2110,0
376,20,1300,0
399,33,1740,2
626,94,4110,0
421,37,1670,1
400,23,1220,0
437,37,2310,1
455,17,974,1
508,24,1310,0
530,30,2120,0
474,26,1880,0
417,25,1040,1
464,28,2080,0
433,28,1790,3
418,26,2130,0
454,22,1520,1
482,25,1860,1
457,20,1490,0
475,16,1540,0
433,24,1850,0
411,22,1760,1
362,9,822,0
431,19,2150,0
508,29,2190,0
373,30,2810,1
394,12,1040,0
344,19,1760,0
345,8,729,0
333,11,822,0
305,11,793,0
423,22,2520,1
511,26,1980,0
357,20,1910,0
388,21,1990,1
346,12,1050,0
324,12,1820,0
407,18,1250,0
407,12,1580,0
361,16,1730,1
447,11,1080,0
351,13,857,0
309,14,1400,1
295,8,1170,0
319,10,851,0
374,21,3030,1
270,14,1320,1
273,8,790,0
301,17,1980,1
288,13,1460,1
221,10,740,1
283,15,1100,0
345,18,1200,0
255,15,1890,1
246,20,2570,0
269,14,1270,0
258,17,1700,0
226,11,1580,0
287,18,2050,0
339,16,1730,0
250,7,917,0
283,14,1470,0
243,11,1140,1
256,7,745,1
199,7,600,0
218,7,428,0
295,11,2060,1
261,17,1390,1
224,6,650,0
199,8,636,0
235,8,843,1
251,11,1680,0
298,13,1750,1
329,11,1290,0
237,14,1580,0
262,6,741,0
241,11,1510,0
230,11,1200,1
286,15,1920,0
309,8,705,0
317,13,1460,0
259,12,1900,0
272,7,595,0
266,13,1930,0
273,10,1020,0
299,13,1320,0
258,10,1420,0
347,10,1390,0
280,8,459,0
170,7,538,0
279,11,757,0
283,7,1110,0
157,7,587,0
90,5,198,0
156,7,421,0
84,2,260,0
165,7,417,0
218,5,347,0
174,3,396,0
178,1,114,0
169,9,804,0
253,9,754,0
151,1,68,0
146,9,788,0
224,7,738,0
197,12,1640,0
178,9,550,0
191,9,1420,0
139,5,564,0
143,5,1240,0
142,4,302,0
228,11,1090,0
191,13,1660,0
219,11,1330,0
258,2,368,0
241,17,1860,1
285,12,1130,0
252,11,1400,0
264,11,1070,0
274,12,1660,0
244,10,847,0
241,9,816,0
321,16,1620,2
265,16,1570,0
380,13,1850,1
293,17,2120,0
303,8,1280,0
294,11,1690,1
274,15,2630,0
336,11,1030,1
343,11,995,0
328,8,619,0
306,12,1480,0
240,9,1070,0
250,5,659,0
357,8,663,0
354,10,1600,0
370,13,2170,1
289,9,1020,0
262,9,1010,0
256,7,522,0
241,10,531,0
227,5,273,0
