,rp_date,cp_id,device,imps,clicks,cost,cv_t
0,2017-01-01,652057083.0,2.0,1466.0,26.0,5227.0,0.0
1,2017-01-01,652057083.0,1.0,1571.0,5.0,900.0,0.0
2,2017-01-01,652057083.0,3.0,505.0,4.0,582.0,0.0
3,2017-01-02,652057083.0,2.0,2353.0,20.0,4610.0,0.0
4,2017-01-02,652057083.0,1.0,2027.0,8.0,1563.0,0.0
5,2017-01-02,652057083.0,3.0,689.0,0.0,0.0,0.0
6,2017-01-03,652057083.0,3.0,785.0,1.0,206.0,0.0
7,2017-01-03,652057083.0,1.0,2742.0,5.0,902.0,0.0
8,2017-01-03,652057083.0,2.0,2609.0,38.0,7938.0,1.0
9,2017-01-04,652057083.0,2.0,2290.0,30.0,6103.0,1.0
10,2017-01-04,652057083.0,3.0,616.0,2.0,507.0,0.0
11,2017-01-04,652057083.0,1.0,2824.0,9.0,1669.0,0.0
12,2017-01-05,652057083.0,3.0,595.0,1.0,169.0,0.0
13,2017-01-05,652057083.0,1.0,2734.0,2.0,346.0,0.0
14,2017-01-05,652057083.0,2.0,1823.0,26.0,5346.0,2.0
15,2017-01-06,652057083.0,3.0,505.0,3.0,538.0,0.0
16,2017-01-06,652057083.0,2.0,1604.0,22.0,4399.0,2.0
17,2017-01-06,652057083.0,1.0,2272.0,4.0,549.0,0.0
18,2017-01-07,652057083.0,2.0,2117.0,40.0,8188.0,0.0
19,2017-01-07,652057083.0,1.0,2939.0,8.0,1457.0,0.0
20,2017-01-07,652057083.0,3.0,670.0,0.0,0.0,0.0
21,2017-01-08,652057083.0,3.0,913.0,3.0,409.0,0.0
22,2017-01-08,652057083.0,1.0,3353.0,8.0,1639.0,2.0
23,2017-01-08,652057083.0,2.0,2581.0,39.0,7966.0,0.0
24,2017-01-09,652057083.0,1.0,3323.0,14.0,2076.0,0.0
25,2017-01-09,652057083.0,2.0,2869.0,68.0,11417.0,2.0
26,2017-01-09,652057083.0,3.0,756.0,6.0,1095.0,1.0
27,2017-01-10,652057083.0,1.0,1860.0,11.0,1216.0,1.0
28,2017-01-10,652057083.0,2.0,1893.0,40.0,7105.0,2.0
29,2017-01-10,652057083.0,3.0,534.0,4.0,587.0,0.0
30,2017-01-11,652057083.0,1.0,1800.0,8.0,1452.0,0.0
31,2017-01-11,652057083.0,3.0,446.0,2.0,268.0,0.0
32,2017-01-11,652057083.0,2.0,1626.0,42.0,7574.0,1.0
33,2017-01-12,652057083.0,1.0,1938.0,11.0,2080.0,0.0
34,2017-01-12,652057083.0,3.0,516.0,5.0,946.0,0.0
35,2017-01-12,652057083.0,2.0,1714.0,39.0,7896.0,1.0
36,2017-01-13,652057083.0,3.0,329.0,6.0,1089.0,0.0
37,2017-01-13,652057083.0,2.0,1551.0,33.0,7160.0,0.0
38,2017-01-13,652057083.0,1.0,1744.0,4.0,618.0,1.0
39,2017-01-14,652057083.0,2.0,1838.0,43.0,7930.0,2.0
40,2017-01-14,652057083.0,3.0,555.0,3.0,518.0,0.0
41,2017-01-14,652057083.0,1.0,2004.0,9.0,1383.0,0.0
42,2017-01-15,652057083.0,2.0,2310.0,46.0,9625.0,3.0
43,2017-01-15,652057083.0,3.0,829.0,3.0,456.0,0.0
44,2017-01-15,652057083.0,1.0,2447.0,5.0,983.0,1.0
45,2017-01-16,652057083.0,1.0,1746.0,9.0,1246.0,0.0
46,2017-01-16,652057083.0,2.0,1732.0,22.0,4494.0,0.0
47,2017-01-16,652057083.0,3.0,432.0,5.0,608.0,0.0
48,2017-01-17,652057083.0,3.0,366.0,1.0,219.0,0.0
49,2017-01-17,652057083.0,2.0,1446.0,40.0,8629.0,0.0
50,2017-01-17,652057083.0,1.0,1608.0,8.0,1635.0,1.0
51,2017-01-18,652057083.0,3.0,464.0,0.0,0.0,0.0
52,2017-01-18,652057083.0,1.0,1499.0,9.0,1212.0,0.0
53,2017-01-18,652057083.0,2.0,1503.0,21.0,4514.0,0.0
54,2017-01-19,652057083.0,2.0,1666.0,36.0,7144.0,0.0
55,2017-01-19,652057083.0,1.0,1666.0,4.0,1061.0,0.0
56,2017-01-19,652057083.0,3.0,602.0,2.0,62.0,0.0
57,2017-01-20,652057083.0,3.0,378.0,3.0,707.0,0.0
58,2017-01-20,652057083.0,1.0,1584.0,7.0,1296.0,0.0
59,2017-01-20,652057083.0,2.0,1408.0,23.0,5451.0,1.0
60,2017-01-21,652057083.0,1.0,1802.0,5.0,910.0,0.0
61,2017-01-21,652057083.0,3.0,636.0,1.0,228.0,0.0
62,2017-01-21,652057083.0,2.0,1707.0,35.0,7683.0,0.0
63,2017-01-22,652057083.0,1.0,2335.0,16.0,2763.0,1.0
64,2017-01-22,652057083.0,2.0,2225.0,41.0,8290.0,0.0
65,2017-01-22,652057083.0,3.0,866.0,3.0,557.0,1.0
66,2017-01-23,652057083.0,1.0,2408.0,12.0,2131.0,0.0
67,2017-01-23,652057083.0,3.0,566.0,3.0,590.0,0.0
68,2017-01-23,652057083.0,2.0,1440.0,28.0,5521.0,0.0
69,2017-01-24,652057083.0,3.0,590.0,4.0,1026.0,0.0
70,2017-01-24,652057083.0,1.0,2388.0,5.0,1074.0,2.0
71,2017-01-24,652057083.0,2.0,1735.0,31.0,6624.0,0.0
72,2017-01-25,652057083.0,3.0,496.0,0.0,0.0,0.0
73,2017-01-25,652057083.0,1.0,1983.0,4.0,790.0,0.0
74,2017-01-25,652057083.0,2.0,1407.0,33.0,6295.0,0.0
75,2017-01-26,652057083.0,2.0,1241.0,25.0,5520.0,0.0
76,2017-01-26,652057083.0,3.0,402.0,2.0,173.0,0.0
77,2017-01-26,652057083.0,1.0,1857.0,6.0,1040.0,0.0
78,2017-01-27,652057083.0,1.0,1530.0,9.0,1453.0,0.0
79,2017-01-27,652057083.0,2.0,1110.0,35.0,7176.0,2.0
80,2017-01-27,652057083.0,3.0,360.0,0.0,0.0,0.0
81,2017-01-28,652057083.0,2.0,1443.0,28.0,6702.0,1.0
82,2017-01-28,652057083.0,1.0,1471.0,6.0,1072.0,0.0
83,2017-01-28,652057083.0,3.0,379.0,1.0,326.0,0.0
84,2017-01-29,652057083.0,2.0,1461.0,30.0,6642.0,1.0
85,2017-01-29,652057083.0,3.0,468.0,4.0,946.0,0.0
86,2017-01-29,652057083.0,1.0,1237.0,6.0,770.0,0.0
87,2017-01-30,652057083.0,2.0,1295.0,31.0,7044.0,2.0
88,2017-01-30,652057083.0,1.0,1224.0,7.0,1418.0,0.0
89,2017-01-30,652057083.0,3.0,202.0,1.0,29.0,0.0
90,2017-01-31,652057083.0,2.0,1221.0,37.0,7765.0,2.0
91,2017-01-31,652057083.0,1.0,1298.0,6.0,1055.0,0.0
92,2017-01-31,652057083.0,3.0,330.0,1.0,240.0,0.0
93,2017-02-01,652057083.0,2.0,1209.0,27.0,4770.0,1.0
94,2017-02-01,652057083.0,1.0,1241.0,5.0,1291.0,0.0
95,2017-02-01,652057083.0,3.0,257.0,2.0,426.0,0.0
96,2017-02-02,652057083.0,3.0,241.0,1.0,92.0,0.0
97,2017-02-02,652057083.0,2.0,1092.0,29.0,6243.0,0.0
98,2017-02-02,652057083.0,1.0,1122.0,6.0,1051.0,0.0
99,2017-02-03,652057083.0,2.0,930.0,25.0,5545.0,1.0
100,2017-02-03,652057083.0,1.0,951.0,5.0,1049.0,0.0
101,2017-02-03,652057083.0,3.0,144.0,1.0,260.0,0.0
102,2017-02-04,652057083.0,3.0,268.0,2.0,511.0,0.0
103,2017-02-04,652057083.0,2.0,1226.0,23.0,4773.0,0.0
104,2017-02-04,652057083.0,1.0,900.0,5.0,987.0,0.0
105,2017-02-05,652057083.0,1.0,1290.0,7.0,1632.0,0.0
106,2017-02-05,652057083.0,3.0,333.0,1.0,216.0,0.0
107,2017-02-05,652057083.0,2.0,1771.0,37.0,8858.0,0.0
108,2017-02-06,652057083.0,2.0,1081.0,25.0,5838.0,0.0
109,2017-02-06,652057083.0,1.0,928.0,8.0,1675.0,0.0
110,2017-02-06,652057083.0,3.0,186.0,3.0,804.0,0.0
111,2017-02-07,652057083.0,3.0,161.0,3.0,688.0,0.0
112,2017-02-07,652057083.0,1.0,844.0,2.0,283.0,0.0
113,2017-02-07,652057083.0,2.0,1152.0,27.0,4709.0,1.0
114,2017-02-08,652057083.0,2.0,878.0,27.0,5003.0,0.0
115,2017-02-08,652057083.0,1.0,712.0,8.0,1455.0,1.0
116,2017-02-08,652057083.0,3.0,165.0,2.0,387.0,0.0
117,2017-02-09,652057083.0,3.0,178.0,2.0,301.0,0.0
118,2017-02-09,652057083.0,1.0,813.0,9.0,1510.0,0.0
119,2017-02-09,652057083.0,2.0,849.0,19.0,3674.0,0.0
120,2017-02-10,652057083.0,2.0,760.0,14.0,2657.0,0.0
121,2017-02-10,652057083.0,1.0,773.0,5.0,953.0,1.0
122,2017-02-10,652057083.0,3.0,196.0,0.0,0.0,0.0
123,2017-02-11,652057083.0,1.0,899.0,4.0,603.0,1.0
124,2017-02-11,652057083.0,2.0,1121.0,23.0,4663.0,0.0
125,2017-02-11,652057083.0,3.0,320.0,0.0,0.0,0.0
126,2017-02-12,652057083.0,1.0,1047.0,9.0,1324.0,1.0
127,2017-02-12,652057083.0,2.0,1202.0,31.0,5281.0,1.0
128,2017-02-12,652057083.0,3.0,288.0,1.0,238.0,0.0
129,2017-02-13,652057083.0,3.0,214.0,1.0,235.0,0.0
130,2017-02-13,652057083.0,1.0,784.0,4.0,558.0,0.0
131,2017-02-13,652057083.0,2.0,922.0,20.0,3994.0,1.0
132,2017-02-14,652057083.0,1.0,650.0,4.0,696.0,0.0
133,2017-02-14,652057083.0,3.0,125.0,3.0,550.0,0.0
134,2017-02-14,652057083.0,2.0,763.0,20.0,3949.0,1.0
135,2017-02-15,652057083.0,1.0,679.0,3.0,639.0,0.0
136,2017-02-15,652057083.0,3.0,167.0,3.0,453.0,0.0
137,2017-02-15,652057083.0,2.0,833.0,15.0,3339.0,0.0
138,2017-02-16,652057083.0,1.0,776.0,5.0,597.0,0.0
139,2017-02-16,652057083.0,2.0,792.0,18.0,4039.0,0.0
140,2017-02-16,652057083.0,3.0,158.0,0.0,0.0,0.0
141,2017-02-17,652057083.0,1.0,758.0,6.0,903.0,0.0
142,2017-02-17,652057083.0,2.0,674.0,19.0,4240.0,0.0
143,2017-02-17,652057083.0,3.0,130.0,4.0,824.0,0.0
144,2017-02-18,652057083.0,3.0,167.0,1.0,197.0,0.0
145,2017-02-18,652057083.0,2.0,699.0,18.0,4467.0,1.0
146,2017-02-18,652057083.0,1.0,731.0,1.0,134.0,0.0
147,2017-02-19,652057083.0,2.0,1015.0,34.0,7210.0,2.0
148,2017-02-19,652057083.0,3.0,239.0,3.0,581.0,1.0
149,2017-02-19,652057083.0,1.0,812.0,2.0,396.0,0.0
150,2017-02-20,652057083.0,1.0,951.0,4.0,889.0,0.0
151,2017-02-20,652057083.0,2.0,693.0,17.0,2882.0,2.0
152,2017-02-20,652057083.0,3.0,222.0,2.0,204.0,0.0
153,2017-02-21,652057083.0,3.0,135.0,1.0,190.0,0.0
154,2017-02-21,652057083.0,2.0,775.0,15.0,3005.0,1.0
155,2017-02-21,652057083.0,1.0,779.0,3.0,608.0,0.0
156,2017-02-22,652057083.0,3.0,176.0,0.0,0.0,0.0
157,2017-02-22,652057083.0,2.0,734.0,32.0,5620.0,1.0
158,2017-02-22,652057083.0,1.0,800.0,3.0,582.0,0.0
159,2017-02-23,652057083.0,2.0,740.0,15.0,3563.0,2.0
160,2017-02-23,652057083.0,1.0,894.0,6.0,1065.0,2.0
161,2017-02-23,652057083.0,3.0,182.0,1.0,207.0,0.0
162,2017-02-24,652057083.0,1.0,779.0,5.0,992.0,0.0
163,2017-02-24,652057083.0,2.0,683.0,20.0,5062.0,1.0
164,2017-02-24,652057083.0,3.0,167.0,1.0,224.0,0.0
