4,105,59,52,108,132,156
13,59,52,108,132,156,225
19,52,108,132,156,225,202
48,108,132,156,225,202,204
59,132,156,225,202,204,285
77,156,225,202,204,285,349
105,225,202,204,285,349,354
59,202,204,285,349,354,269
52,204,285,349,354,269,262
108,285,349,354,269,262,303
132,349,354,269,262,303,317
156,354,269,262,303,317,296
225,269,262,303,317,296,328
202,262,303,317,296,328,362
204,303,317,296,328,362,324
285,317,296,328,362,324,287
349,296,328,362,324,287,297
354,328,362,324,287,297,259
269,362,324,287,297,259,186
262,324,287,297,259,186,196
303,287,297,259,186,196,139
317,297,259,186,196,139,167
296,259,186,196,139,167,171
328,186,196,139,167,171,148
362,196,139,167,171,148,200
324,139,167,171,148,200,230
287,167,171,148,200,230,197
297,171,148,200,230,197,212
259,148,200,230,197,212,180
186,200,230,197,212,180,188
196,230,197,212,180,188,130
139,197,212,180,188,130,96
167,212,180,188,130,96,116
171,180,188,130,96,116,157
148,188,130,96,116,157,174
200,130,96,116,157,174,167
230,96,116,157,174,167,138
197,116,157,174,167,138,130
212,157,174,167,138,130,127
180,174,167,138,130,127,110
188,167,138,130,127,110,112
130,138,130,127,110,112,114
96,130,127,110,112,114,100
116,127,110,112,114,100,118
157,110,112,114,100,118,95
174,112,114,100,118,95,172
167,114,100,118,95,172,181
138,100,118,95,172,181,199
130,118,95,172,181,199,184
127,95,172,181,199,184,177
110,172,181,199,184,177,167
112,181,199,184,177,167,123
114,199,184,177,167,123,156
100,184,177,167,123,156,145
118,177,167,123,156,145,194
95,167,123,156,145,194,236
172,123,156,145,194,236,158
181,156,145,194,236,158,117
199,145,194,236,158,117,167
184,194,236,158,117,167,170
177,236,158,117,167,170,124
167,158,117,167,170,124,152
123,117,167,170,124,152,157
156,167,170,124,152,157,181
145,170,124,152,157,181,48
194,124,152,157,181,48,112
236,152,157,181,48,112,163
158,157,181,48,112,163,113
117,181,48,112,163,113,92
167,48,112,163,113,92,77
170,112,163,113,92,77,69
124,163,113,92,77,69,57
152,113,92,77,69,57,24
157,92,77,69,57,24,50
181,77,69,57,24,50,70
48,69,57,24,50,70,42
112,57,24,50,70,42,53
163,24,50,70,42,53,54
113,50,70,42,53,54,70
92,70,42,53,54,70,66
77,42,53,54,70,66,62
69,53,54,70,66,62,41
57,54,70,66,62,41,50
24,70,66,62,41,50,53
50,66,62,41,50,53,39
70,62,41,50,53,39,55
42,41,50,53,39,55,55
53,50,53,39,55,55,87
54,53,39,55,55,87,120
70,39,55,55,87,120,84
66,55,55,87,120,84,99
62,55,87,120,84,99,113
41,87,120,84,99,113,141
50,120,84,99,113,141,161
