0,0,0,0,0,5,0
0,0,0,0,5,0,4
0,0,0,5,0,4,4
2,0,5,0,4,4,5
1,5,0,4,4,5,2
4,0,4,4,5,2,0
0,4,4,5,2,0,0
0,4,5,2,0,0,0
0,5,2,0,0,0,0
0,2,0,0,0,0,4
5,0,0,0,0,4,1
0,0,0,0,4,1,6
4,0,0,4,1,6,6
4,0,4,1,6,6,3
5,4,1,6,6,3,6
2,1,6,6,3,6,9
0,6,6,3,6,9,2
0,6,3,6,9,2,5
0,3,6,9,2,5,10
0,6,9,2,5,10,5
4,9,2,5,10,5,4
1,2,5,10,5,4,25
6,5,10,5,4,25,11
6,10,5,4,25,11,1
3,5,4,25,11,1,2
6,4,25,11,1,2,0
9,25,11,1,2,0,9
2,11,1,2,0,9,16
5,1,2,0,9,16,4
10,2,0,9,16,4,1
5,0,9,16,4,1,12
4,9,16,4,1,12,6
25,16,4,1,12,6,10
11,4,1,12,6,10,10
1,1,12,6,10,10,12
2,12,6,10,10,12,8
0,6,10,10,12,8,4
9,10,10,12,8,4,10
16,10,12,8,4,10,8
4,12,8,4,10,8,4
1,8,4,10,8,4,1
12,4,10,8,4,1,14
6,10,8,4,1,14,1
10,8,4,1,14,1,0
10,4,1,14,1,0,3
12,1,14,1,0,3,3
8,14,1,0,3,3,2
4,1,0,3,3,2,3
10,0,3,3,2,3,8
8,3,3,2,3,8,3
4,3,2,3,8,3,2
1,2,3,8,3,2,3
14,3,8,3,2,3,2
1,8,3,2,3,2,10
0,3,2,3,2,10,10
3,2,3,2,10,10,6
3,3,2,10,10,6,6
2,2,10,10,6,6,3
3,10,10,6,6,3,7
8,10,6,6,3,7,4
3,6,6,3,7,4,4
2,6,3,7,4,4,4
3,3,7,4,4,4,4
2,7,4,4,4,4,4
10,4,4,4,4,4,1
10,4,4,4,4,1,6
6,4,4,4,1,6,2
6,4,4,1,6,2,1
3,4,1,6,2,1,4
7,1,6,2,1,4,0
4,6,2,1,4,0,4
4,2,1,4,0,4,2
4,1,4,0,4,2,2
4,4,0,4,2,2,4
4,0,4,2,2,4,6
1,4,2,2,4,6,10
6,2,2,4,6,10,2
2,2,4,6,10,2,5
1,4,6,10,2,5,13
4,6,10,2,5,13,4
0,10,2,5,13,4,3
4,2,5,13,4,3,5
2,5,13,4,3,5,3
2,13,4,3,5,3,4
4,4,3,5,3,4,6
6,3,5,3,4,6,3
10,5,3,4,6,3,2
2,3,4,6,3,2,4
5,4,6,3,2,4,9
13,6,3,2,4,9,12
4,3,2,4,9,12,7
3,2,4,9,12,7,4
5,4,9,12,7,4,7
3,9,12,7,4,7,5
