16069,503506,476216,338396,325138,349428,406224,555644,598559,560559,498699,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456
24469,476216,338396,325138,349428,406224,555644,598559,560559,498699,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341
56091,338396,325138,349428,406224,555644,598559,560559,498699,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813
112034,325138,349428,406224,555644,598559,560559,498699,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551
117853,349428,406224,555644,598559,560559,498699,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928
185066,406224,555644,598559,560559,498699,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850
215721,555644,598559,560559,498699,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118
131208,598559,560559,498699,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845
151137,560559,498699,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217
257837,498699,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004
345421,425680,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974
438223,413231,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284
572683,297941,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942
547192,282293,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606
582445,272958,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147
708161,328973,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332
811213,537917,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729
880891,522706,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339
791198,330494,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683
743536,360740,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220
842998,307123,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892
908100,245950,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035
839566,240666,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198
1010776,216916,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011
1096721,194680,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258
906722,301710,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051
884416,304316,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229
672271,456371,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104
638799,506456,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470
503506,534341,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295
476216,488813,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451
338396,500551,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844
325138,445928,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358
349428,458850,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019
406224,437118,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221
555644,435845,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020
598559,530217,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697
560559,633004,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294
498699,449974,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934
425680,395284,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345
413231,395942,382606,350147,425332,433729,464339,122683,269220,379892,357035,294198,184011,139258,156051,54229,125104,140470,124295,117451,116844,162358,167019,156221,141020,165697,160294,94934,124345,155594
